Date,SP500
4/1/2016,9987253.47
5/1/2016,10004145.76
6/1/2016,9877952.28
7/1/2016,9640966.47
8/1/2016,9535140.05
11/1/2016,9544581.01
12/1/2016,9621589.53
13/1/2016,9381620.63
14/1/2016,9535635.14
15/1/2016,9330943.71
19/1/2016,9343363.47
20/1/2016,9223627.85
21/1/2016,9275299.12
22/1/2016,9465583.74
25/1/2016,9322497.92
26/1/2016,9449684.15
27/1/2016,9346841.65
28/1/2016,9395530.7
29/1/2016,9624570.91
1/2/2016,9621091.91
2/2/2016,9447698.76
3/2/2016,9504335.98
4/2/2016,9519242.11
5/2/2016,9337899.95
8/2/2016,9212200.73
9/2/2016,9212696.64
10/2/2016,9204750.17
11/2/2016,9085012.85
12/2/2016,9272317.73
16/2/2016,9428818.6
17/2/2016,9582836.46
18/2/2016,9543585.78
19/2/2016,9539116.66
22/2/2016,9677232.35
23/2/2016,9555012.08
24/2/2016,9598734.4
25/2/2016,9714991.9
26/2/2016,9692635.27
29/2/2016,9616619.39
1/3/2016,9842679.04
2/3/2016,9886893.92
3/3/2016,9925647.81
4/3/2016,9957941.36
7/3/2016,9965892.01
8/3/2016,9857085.02
9/3/2016,9905775.78
10/3/2016,9913724.78
11/3/2016,10073702.89
14/3/2016,10060785.51
15/3/2016,10044389.96
16/3/2016,10102518.27
17/3/2016,10166609.41
18/3/2016,10206561.21
21/3/2016,10221045.1
22/3/2016,10215548.91
23/3/2016,10148133.81
24/3/2016,10143638.67
28/3/2016,10149629.94
29/3/2016,10243516.53
30/3/2016,10288462.73
31/3/2016,10263493.31
1/4/2016,10333405.58
4/4/2016,10299946.01
5/4/2016,10197073.37
6/4/2016,10308436.98
7/4/2016,10185086.65
8/4/2016,10212552.48
11/4/2016,10188584.05
12/4/2016,10283467.5
13/4/2016,10387339.55
14/4/2016,10387839.68
15/4/2016,10376353.05
18/4/2016,10449265.22
19/4/2016,10482223.83
20/4/2016,10492211.81
21/4/2016,10435783.2
22/4/2016,10435783.2
25/4/2016,10417802.68
26/4/2016,10433285.97
27/4/2016,10454758.88
28/4/2016,10359872.89
29/4/2016,10303941.84
2/5/2016,10385842.59
3/5/2016,10295452.57
4/5/2016,10238021.22
5/5/2016,10236026.6
6/5/2016,10273480.4
9/5/2016,10281968.85
10/5/2016,10409814.32
11/5/2016,10312431.99
12/5/2016,10315428.47
13/5/2016,10225536.89
16/5/2016,10326416.62
17/5/2016,10230034.5
18/5/2016,10233027.64
19/5/2016,10197570.1
20/5/2016,10261993.77
23/5/2016,10248010.84
24/5/2016,10380847.31
25/5/2016,10451261.43
26/5/2016,10454258.74
27/5/2016,10499205.77
31/5/2016,10479229.04
1/6/2016,10500704.42
2/6/2016,10532662.87
3/6/2016,10501202.86
6/6/2016,10554637.56
7/6/2016,10571116.01
8/6/2016,10605575.04
9/6/2016,10591091.97
10/6/2016,10490716.5
13/6/2016,10409814.32
14/6/2016,10389339.16
15/6/2016,10374856.1
16/6/2016,10405816.79
17/6/2016,10367065.43
20/6/2016,10433829.64
21/6/2016,10463448.37
22/6/2016,10446380.12
23/6/2016,10582417.53
24/6/2016,10202413.75
27/6/2016,10019688.56
28/6/2016,10200406.61
29/6/2016,10374092.93
30/6/2016,10515651.61
1/7/2016,10537741.87
5/7/2016,10461938.84
6/7/2016,10524689.6
7/7/2016,10518162.23
8/7/2016,10674783.66
11/7/2016,10712433.46
12/7/2016,10790239.45
13/7/2016,10788734.1
14/7/2016,10848972.65
15/7/2016,10834416.68
18/7/2016,10863530.27
19/7/2016,10852487.66
20/7/2016,10897665.87
21/7/2016,10856505.29
22/7/2016,10905196.04
25/7/2016,10875578.96
26/7/2016,10880599.33
27/7/2016,10869053.24
28/7/2016,10881601.25
29/7/2016,10899171.23
1/8/2016,10890135.76
2/8/2016,10820360.84
3/8/2016,10851984.18
4/8/2016,10863530.27
5/8/2016,10952383.09
8/8/2016,10945857.37
9/8/2016,10952383.09
10/8/2016,10925275.81
11/8/2016,10975977.05
12/8/2016,10966438.1
15/8/2016,10998065.61
16/8/2016,10941340.49
17/8/2016,10961921.17
18/8/2016,10986518.7
19/8/2016,10970456.55
22/8/2016,10969952.24
23/8/2016,10992039.2
24/8/2016,10935818.33
25/8/2016,10928288.17
26/8/2016,10907706.61
29/8/2016,10961419.38
30/8/2016,10943347.62
31/8/2016,10912225.19
1/9/2016,10912726.16
2/9/2016,10961921.17
6/9/2016,10995052.43
7/9/2016,10994047.99
8/9/2016,10968948.67
9/9/2016,10706409.52
12/9/2016,10860015.25
13/9/2016,10703896.43
14/9/2016,10699882.98
15/9/2016,10806804.27
16/9/2016,10765031.27
19/9/2016,10767049.28
20/9/2016,10767555.29
21/9/2016,10888640.45
22/9/2016,10957255.17
23/9/2016,10897218.55
26/9/2016,10808926.14
27/9/2016,10876027.17
28/9/2016,10930010.48
29/9/2016,10831124.5
30/9/2016,10912856.82
3/10/2016,10886620.74
4/10/2016,10831124.5
5/10/2016,10879053.79
6/10/2016,10886620.74
7/10/2016,10849287.61
10/10/2016,10905794.12
11/10/2016,10768059.55
12/10/2016,10782186.64
13/10/2016,10746869.81
14/10/2016,10752420.45
17/10/2016,10715083.97
18/10/2016,10782186.64
19/10/2016,10810944.21
20/10/2016,10790763.86
21/10/2016,10795807.72
24/10/2016,10841720.6
25/10/2016,10805391.86
26/10/2016,10783699.51
27/10/2016,10754941.95
28/10/2016,10723156.93
31/10/2016,10723661.24
1/11/2016,10645964.12
2/11/2016,10581889.77
3/11/2016,10533455.35
4/11/2016,10521849.8
7/11/2016,10753931.68
8/11/2016,10802366.11
9/11/2016,10916894.59
10/11/2016,10944137.58
11/11/2016,10918910.89
14/11/2016,10927489.87
15/11/2016,11012753.12
16/11/2016,10992066.82
17/11/2016,11048575.03
18/11/2016,11023852.71
21/11/2016,11107098.78
22/11/2016,11128796.18
23/11/2016,11134847.73
25/11/2016,11176218.64
28/11/2016,11123749.84
29/11/2016,11145445.53
30/11/2016,11118705.15
1/12/2016,11077837.73
2/12/2016,11083385.03
5/12/2016,11149983.39
6/12/2016,11185300.99
7/12/2016,11331612.01
8/12/2016,11359360.96
9/12/2016,11427974.86
12/12/2016,11414858.91
13/12/2016,11491041.46
14/12/2016,11396192.31
15/12/2016,11443111.34
16/12/2016,11420731.21
19/12/2016,11445598.46
20/12/2016,11489752.19
21/12/2016,11457780.35
22/12/2016,11437984.57
23/12/2016,11454735.33
27/12/2016,11483154.44
28/12/2016,11388251.71
29/12/2016,11385714.3
30/12/2016,11344099.63
3/1/2017,11430882.51
4/1/2017,11498889.06
5/1/2017,11489752.19
6/1/2017,11530858.37
9/1/2017,11492797.26
10/1/2017,11492797.26
11/1/2017,11525277.58
12/1/2017,11496347.47
13/1/2017,11522740.99
17/1/2017,11482139.18
18/1/2017,11507513.21
19/1/2017,11464884.93
20/1/2017,11507007.26
23/1/2017,11477064.35
24/1/2017,11550651.67
25/1/2017,11650627.53
26/1/2017,11638449.82
27/1/2017,11620177.79
30/1/2017,11548113.44
31/1/2017,11547098.12
1/2/2017,11551666.94
2/2/2017,11559279.18
3/2/2017,11638955.78
6/2/2017,11618147.21
7/2/2017,11618655.69
8/2/2017,11633881
9/2/2017,11702901.16
10/2/2017,11749082.11
13/2/2017,11813029.14
14/2/2017,11860225.41
15/2/2017,11922138.51
16/2/2017,11911989.73
17/2/2017,11930767.72
21/2/2017,12001817.63
22/2/2017,11991158.67
23/2/2017,11999277.69
24/2/2017,12014503.83
27/2/2017,12033281.82
28/2/2017,12000803.14
1/3/2017,12168784.71
2/3/2017,12092152.37
3/3/2017,12099764.56
6/3/2017,12063732.38
7/3/2017,12027700.21
8/3/2017,12005369.49
9/3/2017,12020593.1
10/3/2017,12062717.06
13/3/2017,12068807.21
14/3/2017,12022624.55
15/3/2017,12126662.45
16/3/2017,12102808.81
17/3/2017,12081553.68
20/3/2017,12068302.9
21/3/2017,11913350.15
22/3/2017,11941385.62
23/3/2017,11928641.62
24/3/2017,11919976.39
27/3/2017,11907744.22
28/3/2017,11994395.56
29/3/2017,12005609.07
30/3/2017,12043836.03
31/3/2017,12015803.09
3/4/2017,11994904.87
4/4/2017,12002550.6
5/4/2017,11966871.1
6/4/2017,12000511.62
7/4/2017,11988278.63
10/4/2017,11995412.53
11/4/2017,11981142.25
12/4/2017,11928641.62
13/4/2017,11851166.5
17/4/2017,11956166.9
18/4/2017,11920485.7
19/4/2017,11898569.69
20/4/2017,11995412.53
21/4/2017,11957185.57
24/4/2017,12088690.94
25/4/2017,12159028.85
26/4/2017,12151384.77
27/4/2017,12161577.14
28/4/2017,12135072.16
1/5/2017,12165655.09
2/5/2017,12170243.18
3/5/2017,12155461.9
4/5/2017,12169733
5/5/2017,12217646.37
8/5/2017,12215606.57
9/5/2017,12204393.89
10/5/2017,12226310.77
11/5/2017,12201334.59
12/5/2017,12180948.21
15/5/2017,12248229.3
16/5/2017,12237014.09
17/5/2017,12019881.05
18/5/2017,12068302.9
19/5/2017,12146796.68
22/5/2017,12208470.14
23/5/2017,12235486.12
24/5/2017,12264028.42
25/5/2017,12322643.42
26/5/2017,12320096.84
30/5/2017,12309392.64
31/5/2017,12306334.99
1/6/2017,12404196.49
2/6/2017,12445485.32
5/6/2017,12436310.74
6/6/2017,12396552.46
7/6/2017,12419490.48
8/6/2017,12425605.71
9/6/2017,12406748.18
12/6/2017,12404196.49
13/6/2017,12464853.87
14/6/2017,12449053.1
15/6/2017,12425096.41
16/6/2017,12427811.42
19/6/2017,12531272.98
20/6/2017,12446760.26
21/6/2017,12443687.57
22/6/2017,12438054.03
23/6/2017,12452909.86
26/6/2017,12461102.62
27/6/2017,12360714.63
28/6/2017,12471346.92
29/6/2017,12361737.47
30/6/2017,12384786.06
3/7/2017,12405788.14
5/7/2017,12434469.45
6/7/2017,12320763.65
7/7/2017,12400664.73
10/7/2017,12413980.9
11/7/2017,12404761.96
12/7/2017,12497981.73
13/7/2017,12518980.47
14/7/2017,12577371.86
17/7/2017,12575832.96
18/7/2017,12582492.75
19/7/2017,12650614.03
20/7/2017,12656248.45
21/7/2017,12644980.49
24/7/2017,12641906.1
25/7/2017,12672637.31
26/7/2017,12673150.79
27/7/2017,12661367.64
28/7/2017,12646517.68
31/7/2017,12639346.06
1/8/2017,12667516.42
2/8/2017,12673664.32
3/8/2017,12649079.36
4/8/2017,12672126.3
7/8/2017,12695686.72
8/8/2017,12664442.85
9/8/2017,12663929.38
10/8/2017,12485175.75
11/8/2017,12503614.45
14/8/2017,12627562.09
15/8/2017,12626028.25
16/8/2017,12648051.53
17/8/2017,12450858.31
18/8/2017,12431396.77
21/8/2017,12441127.54
22/8/2017,12571223.96
23/8/2017,12526151.21
24/8/2017,12496957.25
25/8/2017,12526151.21
28/8/2017,12526664.74
29/8/2017,12541004.58
30/8/2017,12600418.8
31/8/2017,12676224.35
1/9/2017,12694152.05
5/9/2017,12602981.3
6/9/2017,12646003.32
7/9/2017,12644466.95
8/9/2017,12629611.94
11/9/2017,12764319.89
12/9/2017,12807346.08
13/9/2017,12813489.81
14/9/2017,12809394.28
15/9/2017,12826636.72
18/9/2017,12853919.08
19/9/2017,12866785.4
20/9/2017,12871417.9
21/9/2017,12836932.14
22/9/2017,12839505.57
25/9/2017,12813253.58
26/9/2017,12820974.69
27/9/2017,12870904.42
28/9/2017,12886346.64
29/9/2017,12931643.87
2/10/2017,12987748.3
3/10/2017,13015544.19
4/10/2017,13030987.28
5/10/2017,13108196.84
6/10/2017,13093268.93
9/10/2017,13071649.43
10/10/2017,13106137.72
11/10/2017,13126727.67
12/10/2017,13107167.31
13/10/2017,13123123.88
16/10/2017,13140625.23
17/10/2017,13149890.23
18/10/2017,13162758.2
19/10/2017,13166361.17
20/10/2017,13234306.55
23/10/2017,13182831.28
24/10/2017,13205994.66
25/10/2017,13140625.23
26/10/2017,13157610.52
27/10/2017,13265189.4
30/10/2017,13215777.37
31/10/2017,13236363.15
1/11/2017,13253865.27
2/11/2017,13259013.83
3/11/2017,13303280.64
6/11/2017,13323869.78
7/11/2017,13314604.72
8/11/2017,13337251.28
9/11/2017,13288868.78
10/11/2017,13284747.29
13/11/2017,13297103.43
14/11/2017,13266219.76
15/11/2017,13199819.09
16/11/2017,13312029.64
17/11/2017,13272909.68
20/11/2017,13295557.83
21/11/2017,13382546.81
22/11/2017,13370710.85
24/11/2017,13401591.99
27/11/2017,13394902.94
28/11/2017,13530791.18
29/11/2017,13522555.72
30/11/2017,13640946.01
1/12/2017,13612634.95
4/12/2017,13596163.14
5/12/2017,13547263.82
6/12/2017,13549837.25
7/12/2017,13592560.17
8/12/2017,13666683.65
11/12/2017,13707859.34
12/12/2017,13732050.55
13/12/2017,13730508.36
14/12/2017,13674402.24
15/12/2017,13788274.83
18/12/2017,13875710.25
19/12/2017,13822421.3
20/12/2017,13815178.53
21/12/2017,13843633.66
22/12/2017,13840013.12
26/12/2017,13823455.89
27/12/2017,13830181.83
28/12/2017,13858636.95
29/12/2017,13806383.47
2/1/2018,13905197.43
3/1/2018,13993148.03
4/1/2018,14052128.33
5/1/2018,14145776.16
8/1/2018,14171641.16
9/1/2018,14203718.52
10/1/2018,14181988.46
11/1/2018,14285460.06
12/1/2018,14378589.36
16/1/2018,14329439.59
17/1/2018,14466020.61
18/1/2018,14441708.77
19/1/2018,14507411.61
22/1/2018,14625368.8
23/1/2018,14656414.15
24/1/2018,14650717.75
25/1/2018,14656928.51
26/1/2018,14826624
29/1/2018,14728324.4
30/1/2018,14577256.09
31/1/2018,14584498.85
1/2/2018,14567939.09
2/2/2018,14250799.23
5/2/2018,13654792.41
6/2/2018,13923827.13
7/2/2018,13848289.66
8/2/2018,13328855.78
9/2/2018,13529074.74
12/2/2018,13727743.11
13/2/2018,13761890.47
14/2/2018,13947621.32
15/2/2018,14125595.86
16/2/2018,14129734.1
20/2/2018,14041263.27
21/2/2018,13971420.5
22/2/2018,13989528.32
23/2/2018,14212514.4
26/2/2018,14377552.3
27/2/2018,14198027.17
28/2/2018,14054199.15
1/3/2018,13849841.89
2/3/2018,13921238.66
5/3/2018,14082139.09
6/3/2018,14117838.74
7/3/2018,14112663.39
8/3/2018,14180959.75
9/3/2018,14427739.19
12/3/2018,14409628.01
13/3/2018,14316503.71
14/3/2018,14243038.7
15/3/2018,14227516.05
16/3/2018,14242946.58
19/3/2018,14050233.46
20/3/2018,14074125.59
21/3/2018,14047115.48
22/3/2018,13695978.19
23/3/2018,13404053.15
26/3/2018,13770776.83
27/3/2018,13536511.85
28/3/2018,13496511.47
29/3/2018,13668967.21
2/4/2018,13373928.47
3/4/2018,13545340.46
4/4/2018,13690265.87
5/4/2018,13798309.69
6/4/2018,13490800.02
9/4/2018,13557288.63
10/4/2018,13772851.82
11/4/2018,13700654.23
12/4/2018,13813369.09
13/4/2018,13772851.82
16/4/2018,13886089.39
17/4/2018,14034647.95
18/4/2018,14045041.37
19/4/2018,13967123.1
20/4/2018,13848693.44
23/4/2018,13846615.05
24/4/2018,13660136.13
25/4/2018,13693901.5
26/4/2018,13833107.94
27/4/2018,13846095.69
30/4/2018,13739610.86
1/5/2018,13764024.1
2/5/2018,13671564.13
3/5/2018,13641436.93
4/5/2018,13818044.31
7/5/2018,13864795.78
8/5/2018,13864795.78
9/5/2018,13998807.6
10/5/2018,14129705.66
11/5/2018,14172818.93
14/5/2018,14179574.18
15/5/2018,14081916.25
16/5/2018,14141136.96
17/5/2018,14129187.96
18/5/2018,14093865.31
21/5/2018,14199828.21
22/5/2018,14160352.22
23/5/2018,14199310.5
24/5/2018,14170225.41
25/5/2018,14136459.22
29/5/2018,13973875.84
30/5/2018,14160352.22
31/5/2018,14073607.94
1/6/2018,14211780.61
4/6/2018,14279304.64
5/6/2018,14289697.17
6/6/2018,14409165.59
7/6/2018,14407605.78
8/6/2018,14450199.74
11/6/2018,14469420
12/6/2018,14488119.27
13/6/2018,14441886.32
14/6/2018,14478249.43
15/6/2018,14459776.36
18/6/2018,14430039.54
19/6/2018,14374730.89
20/6/2018,14399253.87
21/6/2018,14308986.17
22/6/2018,14335075.66
25/6/2018,14139932.35
26/6/2018,14171240.72
27/6/2018,14053842.25
28/6/2018,14134195.76
29/6/2018,14154541.9
2/7/2018,14184806.52
3/7/2018,14134713.46
5/7/2018,14250026.84
6/7/2018,14370554.11
9/7/2018,14499956.05
10/7/2018,14552129.98
11/7/2018,14445689.51
12/7/2018,14576654.6
13/7/2018,14588132.84
16/7/2018,14575089.74
17/7/2018,14634047.42
18/7/2018,14664836.44
19/7/2018,14609526.14
20/7/2018,14592827.32
23/7/2018,14619958.92
24/7/2018,14693532.85
25/7/2018,14818756.31
26/7/2018,14783798.85
27/7/2018,14683616.08
30/7/2018,14606917.52
31/7/2018,14678918.24
1/8/2018,14654396.97
2/8/2018,14734230.19
3/8/2018,14797363
6/8/2018,14851626.14
7/8/2018,14900675.39
8/8/2018,14894411.05
9/8/2018,14874064.9
10/8/2018,14774403.19
13/8/2018,14719099.58
14/8/2018,14813016.31
15/8/2018,14702402.46
16/8/2018,14821361.52
17/8/2018,14873542.15
20/8/2018,14905373.28
21/8/2018,14940329.04
22/8/2018,14931459.37
23/8/2018,14911632.57
24/8/2018,15001374.22
